name,day,years,prevalence,cases
Pyrethroid-only,2638,-1.7726027397260273,0.33716702,1.499809
Pyrethroid-only,2652,-1.7342465753424658,0.34073865,1.5085757
Pyrethroid-only,2666,-1.6958904109589041,0.34380275,1.5234947
Pyrethroid-only,2680,-1.6575342465753424,0.3471091,1.5516875
Pyrethroid-only,2694,-1.6191780821917807,0.35098246,1.5975294
Pyrethroid-only,2708,-1.5808219178082192,0.35547364,1.6522214
Pyrethroid-only,2722,-1.5424657534246575,0.36073083,1.7330661
Pyrethroid-only,2736,-1.5041095890410958,0.3672263,1.8594317
Pyrethroid-only,2750,-1.4657534246575343,0.37547398,2.0113313
Pyrethroid-only,2764,-1.4273972602739726,0.38537556,2.175857
Pyrethroid-only,2778,-1.389041095890411,0.39596868,2.3054657
Pyrethroid-only,2792,-1.3506849315068492,0.40575567,2.346793
Pyrethroid-only,2806,-1.3123287671232877,0.41318858,2.264617
Pyrethroid-only,2820,-1.273972602739726,0.41713703,2.0751648
Pyrethroid-only,2834,-1.2356164383561643,0.41723052,1.814714
Pyrethroid-only,2848,-1.1972602739726028,0.4137879,1.5696712
Pyrethroid-only,2862,-1.158904109589041,0.40756583,1.3981125
Pyrethroid-only,2876,-1.1205479452054794,0.40021312,1.3790231
Pyrethroid-only,2890,-1.082191780821918,0.39471242,1.5025849
Pyrethroid-only,2904,-1.0438356164383562,0.39403856,1.7040699
Pyrethroid-only,2918,-1.0054794520547945,0.3986566,1.9510057
Pyrethroid-only,2932,-0.9671232876712329,0.40515766,2.184263
Pyrethroid-only,2946,-0.9287671232876712,0.41302052,2.339096
Pyrethroid-only,2960,-0.8904109589041096,0.42294678,2.4129527
Pyrethroid-only,2974,-0.852054794520548,0.43196997,2.401197
Pyrethroid-only,2988,-0.8136986301369863,0.43824312,2.3434393
Pyrethroid-only,3002,-0.7753424657534247,0.44191447,2.2837195
Pyrethroid-only,3016,-0.736986301369863,0.4438802,2.2402506
Pyrethroid-only,3030,-0.6986301369863014,0.44506645,2.215153
Pyrethroid-only,3044,-0.6602739726027397,0.44609568,2.2113366
Pyrethroid-only,3058,-0.6219178082191781,0.44730884,2.2290995
Pyrethroid-only,3072,-0.5835616438356165,0.44894215,2.2640934
Pyrethroid-only,3086,-0.5452054794520548,0.45136812,2.339074
Pyrethroid-only,3100,-0.5068493150684932,0.45520484,2.4668775
Pyrethroid-only,3114,-0.4684931506849315,0.4610124,2.621894
Pyrethroid-only,3128,-0.4301369863013699,0.4686392,2.7875957
Pyrethroid-only,3142,-0.3917808219178082,0.47698426,2.9104495
Pyrethroid-only,3156,-0.35342465753424657,0.48444518,2.938397
Pyrethroid-only,3170,-0.3150684931506849,0.48948243,2.8235881
Pyrethroid-only,3184,-0.27671232876712326,0.490975,2.5715747
Pyrethroid-only,3198,-0.23835616438356164,0.48852503,2.2414591
Pyrethroid-only,3212,-0.2,0.4825216,1.9214406
Pyrethroid-only,3226,-0.16164383561643836,0.47388306,1.6856518
Pyrethroid-only,3240,-0.1232876712328767,0.4642384,1.6247373
Pyrethroid-only,3254,-0.08493150684931507,0.4564025,1.7440932
Pyrethroid-only,3268,-0.04657534246575343,0.45338112,1.9407415
Pyrethroid-only,3282,-0.00821917808219178,0.45602793,2.2206202
Pyrethroid-only,3296,0.030136986301369864,0.458534,1.5485551
Pyrethroid-only,3310,0.0684931506849315,0.43873894,0.7180934
Pyrethroid-only,3324,0.10684931506849316,0.41273212,0.56654537
Pyrethroid-only,3338,0.14520547945205478,0.39754418,0.58140445
Pyrethroid-only,3352,0.18356164383561643,0.3783881,0.5952942
